in s,C1 in V
-2.35730E-01,-7.74471E-01
-2.35727E-01,-7.77828E-01
-2.35724E-01,-7.82711E-01
-2.35721E-01,-7.87365E-01
-2.35717E-01,-7.91637E-01
-2.35714E-01,-7.95986E-01
-2.35711E-01,-8.00640E-01
-2.35707E-01,-8.05446E-01
-2.35704E-01,-8.09032E-01
-2.35701E-01,-8.13763E-01
-2.35698E-01,-8.17806E-01
-2.35694E-01,-8.21544E-01
-2.35691E-01,-8.27114E-01
-2.35688E-01,-8.30929E-01
-2.35684E-01,-8.34667E-01
-2.35681E-01,-8.39397E-01
-2.35678E-01,-8.42525E-01
-2.35674E-01,-8.46798E-01
-2.35671E-01,-8.51681E-01
-2.35668E-01,-8.55648E-01
-2.35665E-01,-8.59157E-01
-2.35661E-01,-8.62820E-01
-2.35658E-01,-8.65871E-01
-2.35655E-01,-8.69457E-01
-2.35651E-01,-8.73653E-01
-2.35648E-01,-8.78689E-01
-2.35645E-01,-8.82427E-01
-2.35642E-01,-8.86394E-01
-2.35638E-01,-8.90667E-01
-2.35635E-01,-8.95321E-01
-2.35632E-01,-8.98983E-01
-2.35628E-01,-9.02874E-01
-2.35625E-01,-9.07070E-01
-2.35622E-01,-9.10732E-01
-2.35618E-01,-9.14089E-01
-2.35615E-01,-9.17599E-01
-2.35612E-01,-9.21490E-01
-2.35609E-01,-9.25075E-01
-2.35605E-01,-9.28280E-01
-2.35602E-01,-9.32171E-01
-2.35599E-01,-9.36138E-01
-2.35595E-01,-9.39724E-01
-2.35592E-01,-9.43462E-01
-2.35589E-01,-9.47430E-01
-2.35585E-01,-9.50939E-01
-2.35582E-01,-9.55288E-01
-2.35579E-01,-9.58950E-01
-2.35576E-01,-9.62841E-01
-2.35572E-01,-9.66884E-01
-2.35569E-01,-9.70165E-01
-2.35566E-01,-9.74056E-01
-2.35562E-01,-9.77794E-01
-2.35559E-01,-9.81533E-01
-2.35556E-01,-9.84890E-01
-2.35553E-01,-9.88323E-01
-2.35549E-01,-9.92061E-01
-2.35546E-01,-9.95647E-01
-2.35543E-01,-9.99843E-01
-2.35539E-01,-1.00305E+00
-2.35536E-01,-1.00686E+00
-2.35533E-01,-1.00976E+00
-2.35529E-01,-1.01358E+00
-2.35526E-01,-1.01617E+00
-2.35523E-01,-1.01983E+00
-2.35520E-01,-1.02342E+00
-2.35516E-01,-1.02670E+00
-2.35513E-01,-1.02983E+00
-2.35510E-01,-1.03280E+00
-2.35506E-01,-1.03631E+00
-2.35503E-01,-1.03891E+00
-2.35500E-01,-1.04173E+00
-2.35496E-01,-1.04623E+00
-2.35493E-01,-1.04974E+00
-2.35490E-01,-1.05340E+00
-2.35487E-01,-1.05638E+00
-2.35483E-01,-1.05973E+00
-2.35480E-01,-1.06317E+00
-2.35477E-01,-1.06637E+00
-2.35473E-01,-1.06912E+00
-2.35470E-01,-1.07171E+00
-2.35467E-01,-1.07507E+00
-2.35464E-01,-1.07797E+00
-2.35460E-01,-1.08010E+00
-2.35457E-01,-1.08430E+00
-2.35454E-01,-1.08766E+00
-2.35450E-01,-1.09170E+00
-2.35447E-01,-1.09460E+00
-2.35444E-01,-1.09697E+00
-2.35440E-01,-1.10048E+00
-2.35437E-01,-1.10307E+00
-2.35434E-01,-1.10513E+00
-2.35431E-01,-1.10795E+00
-2.35427E-01,-1.11116E+00
-2.35424E-01,-1.11428E+00
-2.35421E-01,-1.11718E+00
-2.35417E-01,-1.12001E+00
-2.35414E-01,-1.12336E+00
-2.35411E-01,-1.12611E+00
-2.35407E-01,-1.12825E+00
-2.35404E-01,-1.13107E+00
-2.35401E-01,-1.13412E+00
-2.35398E-01,-1.13702E+00
-2.35394E-01,-1.13961E+00
-2.35391E-01,-1.14289E+00
-2.35388E-01,-1.14473E+00
-2.35384E-01,-1.14740E+00
-2.35381E-01,-1.15098E+00
-2.35378E-01,-1.15411E+00
-2.35375E-01,-1.15617E+00
-2.35371E-01,-1.15884E+00
-2.35368E-01,-1.16204E+00
-2.35365E-01,-1.16456E+00
-2.35361E-01,-1.16723E+00
-2.35358E-01,-1.16891E+00
-2.35355E-01,-1.17158E+00
-2.35351E-01,-1.17364E+00
-2.35348E-01,-1.17646E+00
-2.35345E-01,-1.17967E+00
-2.35342E-01,-1.18280E+00
-2.35338E-01,-1.18570E+00
-2.35335E-01,-1.18798E+00
-2.35332E-01,-1.19126E+00
-2.35328E-01,-1.19485E+00
-2.35325E-01,-1.19691E+00
-2.35322E-01,-1.19943E+00
-2.35318E-01,-1.20217E+00
-2.35315E-01,-1.20439E+00
-2.35312E-01,-1.20668E+00
-2.35309E-01,-1.20919E+00
-2.35305E-01,-1.21202E+00
-2.35302E-01,-1.21400E+00
-2.35299E-01,-1.21629E+00
-2.35295E-01,-1.21942E+00
-2.35292E-01,-1.22110E+00
-2.35289E-01,-1.22445E+00
-2.35286E-01,-1.22705E+00
-2.35282E-01,-1.22857E+00
-2.35279E-01,-1.23056E+00
-2.35276E-01,-1.23391E+00
-2.35272E-01,-1.23597E+00
-2.35269E-01,-1.23826E+00
-2.35266E-01,-1.24047E+00
-2.35262E-01,-1.24261E+00
-2.35259E-01,-1.24505E+00
-2.35256E-01,-1.24772E+00
-2.35253E-01,-1.24887E+00
-2.35249E-01,-1.25138E+00
-2.35246E-01,-1.25283E+00
-2.35243E-01,-1.25535E+00
-2.35239E-01,-1.25749E+00
-2.35236E-01,-1.25917E+00
-2.35233E-01,-1.26130E+00
-2.35230E-01,-1.26321E+00
-2.35226E-01,-1.26512E+00
-2.35223E-01,-1.26725E+00
-2.35220E-01,-1.26962E+00
-2.35216E-01,-1.27183E+00
-2.35213E-01,-1.27412E+00
-2.35210E-01,-1.27641E+00
-2.35206E-01,-1.27908E+00
-2.35203E-01,-1.28068E+00
-2.35200E-01,-1.28251E+00
-2.35197E-01,-1.28381E+00
-2.35193E-01,-1.28617E+00
-2.35190E-01,-1.28862E+00
-2.35187E-01,-1.29090E+00
-2.35183E-01,-1.29319E+00
-2.35180E-01,-1.29457E+00
-2.35177E-01,-1.29670E+00
-2.35173E-01,-1.29823E+00
-2.35170E-01,-1.30067E+00
-2.35167E-01,-1.30250E+00
-2.35164E-01,-1.30449E+00
-2.35160E-01,-1.30647E+00
-2.35157E-01,-1.30822E+00
-2.35154E-01,-1.31005E+00
-2.35150E-01,-1.31219E+00
-2.35147E-01,-1.31456E+00
-2.35144E-01,-1.31616E+00
