in s,C1 in V
-2.35730E-01,-1.00503E+00
-2.35727E-01,-1.00564E+00
-2.35724E-01,-1.00663E+00
-2.35721E-01,-1.00595E+00
-2.35717E-01,-1.00709E+00
-2.35714E-01,-1.00824E+00
-2.35711E-01,-1.00724E+00
-2.35707E-01,-1.00755E+00
-2.35704E-01,-1.00816E+00
-2.35701E-01,-1.00793E+00
-2.35698E-01,-1.01312E+00
-2.35694E-01,-1.02632E+00
-2.35691E-01,-1.02540E+00
-2.35688E-01,-1.02525E+00
-2.35684E-01,-1.02441E+00
-2.35681E-01,-1.02388E+00
-2.35678E-01,-1.02410E+00
-2.35674E-01,-1.02456E+00
-2.35671E-01,-1.02319E+00
-2.35668E-01,-1.02266E+00
-2.35665E-01,-1.02319E+00
-2.35661E-01,-1.02304E+00
-2.35658E-01,-1.02197E+00
-2.35655E-01,-1.02243E+00
-2.35651E-01,-1.02204E+00
-2.35648E-01,-1.02151E+00
-2.35645E-01,-1.02227E+00
-2.35642E-01,-1.02235E+00
-2.35638E-01,-1.02304E+00
-2.35635E-01,-1.02380E+00
-2.35632E-01,-1.02372E+00
-2.35628E-01,-1.02403E+00
-2.35625E-01,-1.03227E+00
-2.35622E-01,-1.04142E+00
-2.35618E-01,-1.04150E+00
-2.35615E-01,-1.04150E+00
-2.35612E-01,-1.04173E+00
-2.35609E-01,-1.04150E+00
-2.35605E-01,-1.04264E+00
-2.35602E-01,-1.04173E+00
-2.35599E-01,-1.04181E+00
-2.35595E-01,-1.04287E+00
-2.35592E-01,-1.04318E+00
-2.35589E-01,-1.04219E+00
-2.35585E-01,-1.04211E+00
-2.35582E-01,-1.04188E+00
-2.35579E-01,-1.04165E+00
-2.35576E-01,-1.04226E+00
-2.35572E-01,-1.04303E+00
-2.35569E-01,-1.04211E+00
-2.35566E-01,-1.04211E+00
-2.35562E-01,-1.04158E+00
-2.35559E-01,-1.04211E+00
-2.35556E-01,-1.04165E+00
-2.35553E-01,-1.05897E+00
-2.35549E-01,-1.05889E+00
-2.35546E-01,-1.05821E+00
-2.35543E-01,-1.05844E+00
-2.35539E-01,-1.05874E+00
-2.35536E-01,-1.05943E+00
-2.35533E-01,-1.05928E+00
-2.35529E-01,-1.05867E+00
-2.35526E-01,-1.05737E+00
-2.35523E-01,-1.05745E+00
-2.35520E-01,-1.05798E+00
-2.35516E-01,-1.05684E+00
-2.35513E-01,-1.05684E+00
-2.35510E-01,-1.05691E+00
-2.35506E-01,-1.05691E+00
-2.35503E-01,-1.05806E+00
-2.35500E-01,-1.05844E+00
-2.35496E-01,-1.05828E+00
-2.35493E-01,-1.05867E+00
-2.35490E-01,-1.05821E+00
-2.35487E-01,-1.05813E+00
-2.35483E-01,-1.06263E+00
-2.35480E-01,-1.07560E+00
-2.35477E-01,-1.07553E+00
-2.35473E-01,-1.07537E+00
-2.35470E-01,-1.07606E+00
-2.35467E-01,-1.07606E+00
-2.35464E-01,-1.07675E+00
-2.35460E-01,-1.07698E+00
-2.35457E-01,-1.07713E+00
-2.35454E-01,-1.07736E+00
-2.35450E-01,-1.07804E+00
-2.35447E-01,-1.07751E+00
-2.35444E-01,-1.07797E+00
-2.35440E-01,-1.07835E+00
-2.35437E-01,-1.07774E+00
-2.35434E-01,-1.07774E+00
-2.35431E-01,-1.07728E+00
-2.35427E-01,-1.07698E+00
-2.35424E-01,-1.07705E+00
-2.35421E-01,-1.07705E+00
-2.35417E-01,-1.07782E+00
-2.35414E-01,-1.07660E+00
-2.35411E-01,-1.08789E+00
-2.35407E-01,-1.09269E+00
-2.35404E-01,-1.09224E+00
-2.35401E-01,-1.09208E+00
-2.35398E-01,-1.09262E+00
-2.35394E-01,-1.09178E+00
-2.35391E-01,-1.09170E+00
-2.35388E-01,-1.09101E+00
-2.35384E-01,-1.09101E+00
-2.35381E-01,-1.09155E+00
-2.35378E-01,-1.09216E+00
-2.35375E-01,-1.09185E+00
-2.35371E-01,-1.09178E+00
-2.35368E-01,-1.09208E+00
-2.35365E-01,-1.09170E+00
-2.35361E-01,-1.09277E+00
-2.35358E-01,-1.09300E+00
-2.35355E-01,-1.09239E+00
-2.35351E-01,-1.09224E+00
-2.35348E-01,-1.09292E+00
-2.35345E-01,-1.09208E+00
-2.35342E-01,-1.09170E+00
-2.35338E-01,-1.10765E+00
-2.35335E-01,-1.10887E+00
-2.35332E-01,-1.10826E+00
-2.35328E-01,-1.10925E+00
-2.35325E-01,-1.10963E+00
-2.35322E-01,-1.10887E+00
-2.35318E-01,-1.10933E+00
-2.35315E-01,-1.10971E+00
-2.35312E-01,-1.10971E+00
-2.35309E-01,-1.11047E+00
-2.35305E-01,-1.11070E+00
-2.35302E-01,-1.11154E+00
-2.35299E-01,-1.11131E+00
-2.35295E-01,-1.11070E+00
-2.35292E-01,-1.11085E+00
-2.35289E-01,-1.11085E+00
-2.35286E-01,-1.11032E+00
-2.35282E-01,-1.11009E+00
-2.35279E-01,-1.10894E+00
-2.35276E-01,-1.10933E+00
-2.35272E-01,-1.10871E+00
-2.35269E-01,-1.11558E+00
-2.35266E-01,-1.12619E+00
-2.35262E-01,-1.12535E+00
-2.35259E-01,-1.12550E+00
-2.35256E-01,-1.12535E+00
-2.35253E-01,-1.12535E+00
-2.35249E-01,-1.12466E+00
-2.35246E-01,-1.12558E+00
-2.35243E-01,-1.12489E+00
-2.35239E-01,-1.12390E+00
-2.35236E-01,-1.12436E+00
-2.35233E-01,-1.12451E+00
-2.35230E-01,-1.12367E+00
-2.35226E-01,-1.12405E+00
-2.35223E-01,-1.12420E+00
-2.35220E-01,-1.12336E+00
-2.35216E-01,-1.12413E+00
-2.35213E-01,-1.12397E+00
-2.35210E-01,-1.12283E+00
-2.35206E-01,-1.12245E+00
-2.35203E-01,-1.12313E+00
-2.35200E-01,-1.12260E+00
-2.35197E-01,-1.13404E+00
-2.35193E-01,-1.14038E+00
-2.35190E-01,-1.14053E+00
-2.35187E-01,-1.14106E+00
-2.35183E-01,-1.14198E+00
-2.35180E-01,-1.14251E+00
-2.35177E-01,-1.14366E+00
-2.35173E-01,-1.14366E+00
-2.35170E-01,-1.14328E+00
-2.35167E-01,-1.14297E+00
-2.35164E-01,-1.14389E+00
-2.35160E-01,-1.14427E+00
-2.35157E-01,-1.14473E+00
-2.35154E-01,-1.14450E+00
-2.35150E-01,-1.14495E+00
-2.35147E-01,-1.14480E+00
-2.35144E-01,-1.14511E+00
-2.35141E-01,-1.14549E+00
-2.35137E-01,-1.14473E+00
-2.35134E-01,-1.14534E+00
-2.35131E-01,-1.14457E+00
-2.35127E-01,-1.14579E+00
-2.35124E-01,-1.16227E+00
-2.35121E-01,-1.16220E+00
-2.35117E-01,-1.16250E+00
