in s,C1 in V
-2.35730E-01,-1.74226E+00
-2.35727E-01,-1.74356E+00
-2.35724E-01,-1.74539E+00
-2.35721E-01,-1.74600E+00
-2.35717E-01,-1.74760E+00
-2.35714E-01,-1.74745E+00
-2.35711E-01,-1.74775E+00
-2.35707E-01,-1.74874E+00
-2.35704E-01,-1.74890E+00
-2.35701E-01,-1.74913E+00
-2.35698E-01,-1.74974E+00
-2.35694E-01,-1.75019E+00
-2.35691E-01,-1.74951E+00
-2.35688E-01,-1.75050E+00
-2.35684E-01,-1.75065E+00
-2.35681E-01,-1.75058E+00
-2.35678E-01,-1.75126E+00
-2.35674E-01,-1.75134E+00
-2.35671E-01,-1.75103E+00
-2.35668E-01,-1.75111E+00
-2.35665E-01,-1.75164E+00
-2.35661E-01,-1.75149E+00
-2.35658E-01,-1.75210E+00
-2.35655E-01,-1.75233E+00
-2.35651E-01,-1.75279E+00
-2.35648E-01,-1.75355E+00
-2.35645E-01,-1.75370E+00
-2.35642E-01,-1.75348E+00
-2.35638E-01,-1.75294E+00
-2.35635E-01,-1.75378E+00
-2.35632E-01,-1.75355E+00
-2.35628E-01,-1.75363E+00
-2.35625E-01,-1.75393E+00
-2.35622E-01,-1.75317E+00
-2.35618E-01,-1.75340E+00
-2.35615E-01,-1.75386E+00
-2.35612E-01,-1.75416E+00
-2.35609E-01,-1.75454E+00
-2.35605E-01,-1.75515E+00
-2.35602E-01,-1.75454E+00
-2.35599E-01,-1.75492E+00
-2.35595E-01,-1.75439E+00
-2.35592E-01,-1.75508E+00
-2.35589E-01,-1.75576E+00
-2.35585E-01,-1.75523E+00
-2.35582E-01,-1.75500E+00
-2.35579E-01,-1.75500E+00
-2.35576E-01,-1.75500E+00
-2.35572E-01,-1.75485E+00
-2.35569E-01,-1.75546E+00
-2.35566E-01,-1.75615E+00
-2.35562E-01,-1.75462E+00
-2.35559E-01,-1.75424E+00
-2.35556E-01,-1.75447E+00
-2.35553E-01,-1.75393E+00
-2.35549E-01,-1.75370E+00
-2.35546E-01,-1.75294E+00
-2.35543E-01,-1.75218E+00
-2.35539E-01,-1.75149E+00
-2.35536E-01,-1.75058E+00
-2.35533E-01,-1.75012E+00
-2.35529E-01,-1.74997E+00
-2.35526E-01,-1.75004E+00
-2.35523E-01,-1.74981E+00
-2.35520E-01,-1.74981E+00
-2.35516E-01,-1.74852E+00
-2.35513E-01,-1.74882E+00
-2.35510E-01,-1.74783E+00
-2.35506E-01,-1.74745E+00
-2.35503E-01,-1.74615E+00
-2.35500E-01,-1.74577E+00
-2.35496E-01,-1.74546E+00
-2.35493E-01,-1.74462E+00
-2.35490E-01,-1.74348E+00
-2.35487E-01,-1.74302E+00
-2.35483E-01,-1.74287E+00
-2.35480E-01,-1.74287E+00
-2.35477E-01,-1.74157E+00
-2.35473E-01,-1.74134E+00
-2.35470E-01,-1.74058E+00
-2.35467E-01,-1.73982E+00
-2.35464E-01,-1.73982E+00
-2.35460E-01,-1.73944E+00
-2.35457E-01,-1.73974E+00
-2.35454E-01,-1.73936E+00
-2.35450E-01,-1.73860E+00
-2.35447E-01,-1.73845E+00
-2.35444E-01,-1.73692E+00
-2.35440E-01,-1.73585E+00
-2.35437E-01,-1.73509E+00
-2.35434E-01,-1.73478E+00
-2.35431E-01,-1.73356E+00
-2.35427E-01,-1.73265E+00
