in s,C1 in V
-2.35730E-01,-3.43639E-01
-2.35727E-01,-3.44326E-01
-2.35724E-01,-3.44021E-01
-2.35721E-01,-4.11541E-01
-2.35717E-01,-4.19170E-01
-2.35714E-01,-4.18865E-01
-2.35711E-01,-4.18712E-01
-2.35707E-01,-4.36107E-01
-2.35704E-01,-4.93938E-01
-2.35701E-01,-4.92870E-01
-2.35698E-01,-4.93023E-01
-2.35694E-01,-4.94778E-01
-2.35691E-01,-5.47344E-01
-2.35688E-01,-5.78472E-01
-2.35684E-01,-5.79464E-01
-2.35681E-01,-5.78319E-01
-2.35678E-01,-5.78472E-01
-2.35674E-01,-6.67812E-01
-2.35671E-01,-6.71093E-01
-2.35668E-01,-6.71627E-01
-2.35665E-01,-6.71551E-01
-2.35661E-01,-6.99474E-01
-2.35658E-01,-7.63714E-01
-2.35655E-01,-7.63790E-01
-2.35651E-01,-7.63103E-01
-2.35648E-01,-7.63409E-01
-2.35645E-01,-8.30547E-01
-2.35642E-01,-8.63888E-01
-2.35638E-01,-8.64956E-01
-2.35635E-01,-8.64422E-01
-2.35632E-01,-8.64803E-01
-2.35628E-01,-9.63375E-01
-2.35625E-01,-9.64672E-01
-2.35622E-01,-9.63833E-01
-2.35618E-01,-9.63146E-01
-2.35615E-01,-1.00541E+00
-2.35612E-01,-1.07240E+00
-2.35609E-01,-1.07194E+00
-2.35605E-01,-1.07270E+00
-2.35602E-01,-1.07240E+00
-2.35599E-01,-1.14618E+00
-2.35595E-01,-1.17311E+00
-2.35592E-01,-1.17349E+00
-2.35589E-01,-1.17257E+00
-2.35585E-01,-1.17753E+00
-2.35582E-01,-1.27679E+00
-2.35579E-01,-1.27526E+00
-2.35576E-01,-1.27626E+00
-2.35572E-01,-1.27694E+00
-2.35569E-01,-1.32158E+00
-2.35566E-01,-1.38780E+00
-2.35562E-01,-1.38856E+00
-2.35559E-01,-1.38856E+00
-2.35556E-01,-1.38826E+00
-2.35553E-01,-1.46569E+00
-2.35549E-01,-1.48927E+00
-2.35546E-01,-1.48996E+00
-2.35543E-01,-1.48927E+00
-2.35539E-01,-1.50247E+00
-2.35536E-01,-1.59433E+00
-2.35533E-01,-1.59249E+00
-2.35529E-01,-1.59188E+00
-2.35526E-01,-1.59173E+00
-2.35523E-01,-1.64018E+00
-2.35520E-01,-1.68397E+00
-2.35516E-01,-1.68397E+00
-2.35513E-01,-1.68534E+00
-2.35510E-01,-1.68489E+00
-2.35506E-01,-1.75882E+00
-2.35503E-01,-1.77842E+00
-2.35500E-01,-1.77774E+00
-2.35496E-01,-1.77728E+00
-2.35493E-01,-1.79269E+00
-2.35490E-01,-1.86372E+00
-2.35487E-01,-1.86242E+00
-2.35483E-01,-1.86265E+00
-2.35480E-01,-1.86265E+00
-2.35477E-01,-1.90614E+00
-2.35473E-01,-1.93818E+00
-2.35470E-01,-1.93910E+00
-2.35467E-01,-1.93856E+00
-2.35464E-01,-1.93834E+00
-2.35460E-01,-2.00341E+00
-2.35457E-01,-2.01234E+00
-2.35454E-01,-2.01303E+00
-2.35450E-01,-2.01280E+00
-2.35447E-01,-2.02913E+00
-2.35444E-01,-2.07360E+00
-2.35440E-01,-2.07284E+00
-2.35437E-01,-2.07353E+00
-2.35434E-01,-2.07307E+00
-2.35431E-01,-2.10572E+00
-2.35427E-01,-2.12388E+00
-2.35424E-01,-2.12426E+00
-2.35421E-01,-2.12495E+00
-2.35417E-01,-2.12434E+00
-2.35414E-01,-2.17088E+00
-2.35411E-01,-2.17538E+00
-2.35407E-01,-2.17454E+00
-2.35404E-01,-2.17553E+00
-2.35401E-01,-2.18736E+00
-2.35398E-01,-2.21101E+00
-2.35394E-01,-2.21070E+00
-2.35391E-01,-2.21093E+00
-2.35388E-01,-2.21093E+00
-2.35384E-01,-2.22543E+00
-2.35381E-01,-2.23565E+00
-2.35378E-01,-2.23542E+00
-2.35375E-01,-2.23443E+00
-2.35371E-01,-2.23535E+00
-2.35368E-01,-2.25145E+00
-2.35365E-01,-2.25122E+00
-2.35361E-01,-2.25167E+00
-2.35358E-01,-2.25167E+00
-2.35355E-01,-2.25648E+00
-2.35351E-01,-2.26030E+00
-2.35348E-01,-2.26152E+00
-2.35345E-01,-2.26121E+00
-2.35342E-01,-2.26190E+00
-2.35338E-01,-2.25305E+00
-2.35335E-01,-2.25312E+00
-2.35332E-01,-2.25244E+00
-2.35328E-01,-2.25290E+00
-2.35325E-01,-2.25061E+00
-2.35322E-01,-2.23680E+00
-2.35318E-01,-2.23680E+00
-2.35315E-01,-2.23649E+00
-2.35312E-01,-2.23725E+00
-2.35309E-01,-2.22772E+00
-2.35305E-01,-2.21337E+00
-2.35302E-01,-2.21360E+00
-2.35299E-01,-2.21498E+00
-2.35295E-01,-2.21536E+00
-2.35292E-01,-2.18766E+00
-2.35289E-01,-2.18309E+00
-2.35286E-01,-2.18316E+00
-2.35282E-01,-2.18354E+00
-2.35279E-01,-2.17622E+00
-2.35276E-01,-2.13319E+00
-2.35272E-01,-2.13258E+00
-2.35269E-01,-2.13365E+00
-2.35266E-01,-2.13372E+00
-2.35262E-01,-2.10511E+00
-2.35259E-01,-2.08268E+00
-2.35256E-01,-2.08322E+00
-2.35253E-01,-2.08345E+00
-2.35249E-01,-2.08245E+00
-2.35246E-01,-2.03042E+00
-2.35243E-01,-2.02516E+00
-2.35239E-01,-2.02523E+00
-2.35236E-01,-2.02615E+00
-2.35233E-01,-2.00822E+00
-2.35230E-01,-1.94978E+00
-2.35226E-01,-1.95115E+00
-2.35223E-01,-1.95153E+00
-2.35220E-01,-1.95092E+00
-2.35216E-01,-1.90438E+00
-2.35213E-01,-1.87616E+00
-2.35210E-01,-1.87577E+00
-2.35206E-01,-1.87501E+00
-2.35203E-01,-1.87524E+00
-2.35200E-01,-1.79689E+00
-2.35197E-01,-1.79101E+00
