in s,C1 in V
-2.35730E-01,-2.19819E+00
-2.35727E-01,-2.19773E+00
-2.35724E-01,-2.19819E+00
-2.35721E-01,-2.19804E+00
-2.35717E-01,-2.19903E+00
-2.35714E-01,-2.19934E+00
-2.35711E-01,-2.19972E+00
-2.35707E-01,-2.19995E+00
-2.35704E-01,-2.20170E+00
-2.35701E-01,-2.20208E+00
-2.35698E-01,-2.20300E+00
-2.35694E-01,-2.20323E+00
-2.35691E-01,-2.20414E+00
-2.35688E-01,-2.20536E+00
-2.35684E-01,-2.20567E+00
-2.35681E-01,-2.20643E+00
-2.35678E-01,-2.20704E+00
-2.35674E-01,-2.20750E+00
-2.35671E-01,-2.20811E+00
-2.35668E-01,-2.20857E+00
-2.35665E-01,-2.20971E+00
-2.35661E-01,-2.21025E+00
-2.35658E-01,-2.21124E+00
-2.35655E-01,-2.21154E+00
-2.35651E-01,-2.21223E+00
-2.35648E-01,-2.21208E+00
-2.35645E-01,-2.21261E+00
-2.35642E-01,-2.21208E+00
-2.35638E-01,-2.21269E+00
-2.35635E-01,-2.21276E+00
-2.35632E-01,-2.21368E+00
-2.35628E-01,-2.21376E+00
-2.35625E-01,-2.21620E+00
-2.35622E-01,-2.21704E+00
-2.35618E-01,-2.21711E+00
-2.35615E-01,-2.21841E+00
-2.35612E-01,-2.21864E+00
-2.35609E-01,-2.21811E+00
-2.35605E-01,-2.21925E+00
-2.35602E-01,-2.21971E+00
-2.35599E-01,-2.21910E+00
-2.35595E-01,-2.21940E+00
-2.35592E-01,-2.22062E+00
-2.35589E-01,-2.22062E+00
-2.35585E-01,-2.22093E+00
-2.35582E-01,-2.22139E+00
-2.35579E-01,-2.22207E+00
-2.35576E-01,-2.22299E+00
-2.35572E-01,-2.22261E+00
-2.35569E-01,-2.22329E+00
-2.35566E-01,-2.22512E+00
-2.35562E-01,-2.22543E+00
-2.35559E-01,-2.22497E+00
-2.35556E-01,-2.22482E+00
-2.35553E-01,-2.22558E+00
-2.35549E-01,-2.22604E+00
-2.35546E-01,-2.22627E+00
-2.35543E-01,-2.22711E+00
-2.35539E-01,-2.22749E+00
-2.35536E-01,-2.22741E+00
-2.35533E-01,-2.22726E+00
-2.35529E-01,-2.22726E+00
-2.35526E-01,-2.22772E+00
-2.35523E-01,-2.22879E+00
-2.35520E-01,-2.22924E+00
-2.35516E-01,-2.22932E+00
-2.35513E-01,-2.22863E+00
-2.35510E-01,-2.22909E+00
-2.35506E-01,-2.23001E+00
-2.35503E-01,-2.23008E+00
-2.35500E-01,-2.23092E+00
-2.35496E-01,-2.23169E+00
-2.35493E-01,-2.23268E+00
-2.35490E-01,-2.23314E+00
-2.35487E-01,-2.23359E+00
-2.35483E-01,-2.23336E+00
-2.35480E-01,-2.23382E+00
-2.35477E-01,-2.23413E+00
-2.35473E-01,-2.23451E+00
-2.35470E-01,-2.23596E+00
-2.35467E-01,-2.23550E+00
-2.35464E-01,-2.23619E+00
-2.35460E-01,-2.23687E+00
-2.35457E-01,-2.23710E+00
-2.35454E-01,-2.23794E+00
-2.35450E-01,-2.23840E+00
-2.35447E-01,-2.23924E+00
-2.35444E-01,-2.24031E+00
-2.35440E-01,-2.24069E+00
-2.35437E-01,-2.24145E+00
-2.35434E-01,-2.24275E+00
-2.35431E-01,-2.24229E+00
-2.35427E-01,-2.24267E+00
-2.35424E-01,-2.24405E+00
-2.35421E-01,-2.24405E+00
-2.35417E-01,-2.24481E+00
-2.35414E-01,-2.24618E+00
-2.35411E-01,-2.24679E+00
-2.35407E-01,-2.24687E+00
-2.35404E-01,-2.24740E+00
-2.35401E-01,-2.24862E+00
-2.35398E-01,-2.24908E+00
-2.35394E-01,-2.24916E+00
-2.35391E-01,-2.24931E+00
-2.35388E-01,-2.24946E+00
-2.35384E-01,-2.25084E+00
-2.35381E-01,-2.25061E+00
-2.35378E-01,-2.25084E+00
-2.35375E-01,-2.25114E+00
-2.35371E-01,-2.25267E+00
-2.35368E-01,-2.25396E+00
-2.35365E-01,-2.25328E+00
-2.35361E-01,-2.25328E+00
-2.35358E-01,-2.25351E+00
-2.35355E-01,-2.25511E+00
-2.35351E-01,-2.25511E+00
-2.35348E-01,-2.25557E+00
-2.35345E-01,-2.25511E+00
-2.35342E-01,-2.25480E+00
-2.35338E-01,-2.25480E+00
-2.35335E-01,-2.25564E+00
-2.35332E-01,-2.25465E+00
-2.35328E-01,-2.25572E+00
-2.35325E-01,-2.25564E+00
-2.35322E-01,-2.25564E+00
-2.35318E-01,-2.25602E+00
-2.35315E-01,-2.25724E+00
-2.35312E-01,-2.25778E+00
-2.35309E-01,-2.25816E+00
-2.35305E-01,-2.25793E+00
-2.35302E-01,-2.25877E+00
-2.35299E-01,-2.25824E+00
-2.35295E-01,-2.25923E+00
-2.35292E-01,-2.25908E+00
-2.35289E-01,-2.26091E+00
-2.35286E-01,-2.25946E+00
-2.35282E-01,-2.25976E+00
-2.35279E-01,-2.26052E+00
-2.35276E-01,-2.25946E+00
-2.35272E-01,-2.26022E+00
-2.35269E-01,-2.26037E+00
-2.35266E-01,-2.26083E+00
-2.35262E-01,-2.26136E+00
-2.35259E-01,-2.26121E+00
-2.35256E-01,-2.26304E+00
-2.35253E-01,-2.26312E+00
-2.35249E-01,-2.26449E+00
-2.35246E-01,-2.26510E+00
-2.35243E-01,-2.26579E+00
-2.35239E-01,-2.26655E+00
-2.35236E-01,-2.26693E+00
-2.35233E-01,-2.26625E+00
-2.35230E-01,-2.26670E+00
-2.35226E-01,-2.26739E+00
-2.35223E-01,-2.26823E+00
-2.35220E-01,-2.26777E+00
-2.35216E-01,-2.26800E+00
-2.35213E-01,-2.26808E+00
-2.35210E-01,-2.26854E+00
-2.35206E-01,-2.26899E+00
-2.35203E-01,-2.26907E+00
-2.35200E-01,-2.26976E+00
-2.35197E-01,-2.27037E+00
-2.35193E-01,-2.27174E+00
-2.35190E-01,-2.27197E+00
-2.35187E-01,-2.27151E+00
-2.35183E-01,-2.27220E+00
-2.35180E-01,-2.27304E+00
-2.35177E-01,-2.27365E+00
-2.35173E-01,-2.27472E+00
-2.35170E-01,-2.27418E+00
-2.35167E-01,-2.27456E+00
-2.35164E-01,-2.27403E+00
-2.35160E-01,-2.27357E+00
-2.35157E-01,-2.27449E+00
-2.35154E-01,-2.27441E+00
-2.35150E-01,-2.27494E+00
-2.35147E-01,-2.27609E+00
-2.35144E-01,-2.27655E+00
