in s,C1 in V
-2.35730E-01,-2.26419E+00
-2.35727E-01,-2.26319E+00
-2.35724E-01,-2.26381E+00
-2.35721E-01,-2.26442E+00
-2.35717E-01,-2.26411E+00
-2.35714E-01,-2.26510E+00
-2.35711E-01,-2.26464E+00
-2.35707E-01,-2.26411E+00
-2.35704E-01,-2.26548E+00
-2.35701E-01,-2.26556E+00
-2.35698E-01,-2.26495E+00
-2.35694E-01,-2.26602E+00
-2.35691E-01,-2.26648E+00
-2.35688E-01,-2.26609E+00
-2.35684E-01,-2.26670E+00
-2.35681E-01,-2.26594E+00
-2.35678E-01,-2.26587E+00
-2.35674E-01,-2.26678E+00
-2.35671E-01,-2.26686E+00
-2.35668E-01,-2.26693E+00
-2.35665E-01,-2.26640E+00
-2.35661E-01,-2.26632E+00
-2.35658E-01,-2.26693E+00
-2.35655E-01,-2.26747E+00
-2.35651E-01,-2.26625E+00
-2.35648E-01,-2.26709E+00
-2.35645E-01,-2.26648E+00
-2.35642E-01,-2.26686E+00
-2.35638E-01,-2.26648E+00
-2.35635E-01,-2.26617E+00
-2.35632E-01,-2.26571E+00
-2.35628E-01,-2.26457E+00
-2.35625E-01,-2.26518E+00
-2.35622E-01,-2.26503E+00
-2.35618E-01,-2.26617E+00
-2.35615E-01,-2.26632E+00
-2.35612E-01,-2.26663E+00
-2.35609E-01,-2.26709E+00
-2.35605E-01,-2.26754E+00
-2.35602E-01,-2.26785E+00
-2.35599E-01,-2.26907E+00
-2.35595E-01,-2.26854E+00
-2.35592E-01,-2.26976E+00
-2.35589E-01,-2.27029E+00
-2.35585E-01,-2.26999E+00
-2.35582E-01,-2.27159E+00
-2.35579E-01,-2.27166E+00
-2.35576E-01,-2.27113E+00
-2.35572E-01,-2.27212E+00
-2.35569E-01,-2.27243E+00
-2.35566E-01,-2.27143E+00
-2.35562E-01,-2.27250E+00
-2.35559E-01,-2.27304E+00
-2.35556E-01,-2.27334E+00
-2.35553E-01,-2.27334E+00
-2.35549E-01,-2.27319E+00
-2.35546E-01,-2.27403E+00
-2.35543E-01,-2.27388E+00
-2.35539E-01,-2.27357E+00
-2.35536E-01,-2.27311E+00
-2.35533E-01,-2.27357E+00
-2.35529E-01,-2.27304E+00
-2.35526E-01,-2.27250E+00
-2.35523E-01,-2.27258E+00
-2.35520E-01,-2.27258E+00
-2.35516E-01,-2.27273E+00
-2.35513E-01,-2.27166E+00
-2.35510E-01,-2.27136E+00
-2.35506E-01,-2.27182E+00
-2.35503E-01,-2.27258E+00
-2.35500E-01,-2.27151E+00
-2.35496E-01,-2.27227E+00
-2.35493E-01,-2.27273E+00
-2.35490E-01,-2.27243E+00
-2.35487E-01,-2.27266E+00
-2.35483E-01,-2.27243E+00
-2.35480E-01,-2.27243E+00
-2.35477E-01,-2.27220E+00
-2.35473E-01,-2.27174E+00
-2.35470E-01,-2.27174E+00
-2.35467E-01,-2.27227E+00
-2.35464E-01,-2.27212E+00
-2.35460E-01,-2.27151E+00
-2.35457E-01,-2.27212E+00
-2.35454E-01,-2.27227E+00
-2.35450E-01,-2.17965E+00
-2.35447E-01,-5.80837E-01
-2.35444E-01,-1.27727E-01
-2.35440E-01,-1.26812E-01
-2.35437E-01,-1.26812E-01
-2.35434E-01,-1.25973E-01
-2.35431E-01,-1.24828E-01
-2.35427E-01,-1.24599E-01
-2.35424E-01,-1.24294E-01
-2.35421E-01,-1.23455E-01
-2.35417E-01,-1.23379E-01
-2.35414E-01,-1.21471E-01
-2.35411E-01,-1.21242E-01
-2.35407E-01,-1.21013E-01
-2.35404E-01,-1.20632E-01
-2.35401E-01,-1.20632E-01
-2.35398E-01,-1.20632E-01
-2.35394E-01,-1.20251E-01
-2.35391E-01,-1.20098E-01
-2.35388E-01,-1.20327E-01
-2.35384E-01,-1.19869E-01
-2.35381E-01,-1.20327E-01
-2.35378E-01,-1.19335E-01
-2.35375E-01,-1.19106E-01
-2.35371E-01,-1.19335E-01
-2.35368E-01,-1.18725E-01
-2.35365E-01,-1.19335E-01
-2.35361E-01,-1.19640E-01
-2.35358E-01,-1.19716E-01
-2.35355E-01,-1.19182E-01
-2.35351E-01,-1.18954E-01
-2.35348E-01,-1.17885E-01
-2.35345E-01,-1.17504E-01
-2.35342E-01,-1.17580E-01
-2.35338E-01,-1.17504E-01
-2.35335E-01,-1.17046E-01
