in s,C1 in V
-2.38730E-01,-5.11028E-01
-2.38727E-01,-5.10723E-01
-2.38724E-01,-5.10876E-01
-2.38720E-01,-5.10494E-01
-2.38717E-01,-5.11028E-01
-2.38714E-01,-5.10799E-01
-2.38710E-01,-5.10876E-01
-2.38707E-01,-5.11486E-01
-2.38704E-01,-5.09960E-01
-2.38701E-01,-5.10113E-01
-2.38697E-01,-5.10799E-01
-2.38694E-01,-5.11181E-01
-2.38691E-01,-5.12096E-01
-2.38687E-01,-5.12020E-01
-2.38684E-01,-5.13470E-01
-2.38681E-01,-5.13775E-01
-2.38677E-01,-5.14843E-01
-2.38674E-01,-5.15072E-01
-2.38671E-01,-5.14614E-01
-2.38668E-01,-5.16140E-01
-2.38664E-01,-5.15682E-01
-2.38661E-01,-5.16140E-01
-2.38658E-01,-5.16521E-01
-2.38654E-01,-5.16979E-01
-2.38651E-01,-5.17208E-01
-2.38648E-01,-5.18123E-01
-2.38644E-01,-5.18200E-01
-2.38641E-01,-5.18658E-01
-2.38638E-01,-5.19192E-01
-2.38635E-01,-5.18734E-01
-2.38631E-01,-5.18200E-01
-2.38628E-01,-5.18963E-01
-2.38625E-01,-5.18200E-01
-2.38621E-01,-5.18734E-01
-2.38618E-01,-5.18810E-01
-2.38615E-01,-5.18734E-01
-2.38612E-01,-5.18810E-01
-2.38608E-01,-5.19420E-01
-2.38605E-01,-5.19039E-01
-2.38602E-01,-5.18505E-01
-2.38598E-01,-5.19268E-01
-2.38595E-01,-5.19802E-01
-2.38592E-01,-5.20260E-01
-2.38588E-01,-5.19573E-01
-2.38585E-01,-5.20870E-01
-2.38582E-01,-5.20794E-01
-2.38579E-01,-5.20107E-01
-2.38575E-01,-5.19726E-01
-2.38572E-01,-5.22014E-01
-2.38569E-01,-5.22167E-01
-2.38565E-01,-5.21633E-01
-2.38562E-01,-5.22625E-01
-2.38559E-01,-5.22243E-01
-2.38556E-01,-5.23311E-01
-2.38552E-01,-5.23540E-01
-2.38549E-01,-5.24608E-01
-2.38546E-01,-5.24227E-01
-2.38542E-01,-5.23464E-01
-2.38539E-01,-5.24303E-01
-2.38536E-01,-5.25143E-01
-2.38532E-01,-5.24685E-01
-2.38529E-01,-5.23159E-01
-2.38526E-01,-5.25371E-01
-2.38523E-01,-5.25677E-01
-2.38519E-01,-5.26211E-01
-2.38516E-01,-5.26592E-01
-2.38513E-01,-5.25753E-01
-2.38509E-01,-5.25982E-01
-2.38506E-01,-5.26287E-01
-2.38503E-01,-5.27279E-01
-2.38499E-01,-5.27126E-01
-2.38496E-01,-5.27126E-01
-2.38493E-01,-5.28194E-01
-2.38490E-01,-5.27737E-01
-2.38486E-01,-5.28118E-01
-2.38483E-01,-5.27355E-01
-2.38480E-01,-5.28347E-01
-2.38476E-01,-5.29110E-01
-2.38473E-01,-5.29262E-01
-2.38470E-01,-5.29949E-01
-2.38467E-01,-5.30178E-01
-2.38463E-01,-5.30178E-01
-2.38460E-01,-5.30941E-01
-2.38457E-01,-5.31933E-01
-2.38453E-01,-5.32772E-01
-2.38450E-01,-5.33306E-01
-2.38447E-01,-5.33764E-01
-2.38443E-01,-5.33001E-01
-2.38440E-01,-5.33687E-01
-2.38437E-01,-5.34221E-01
-2.38434E-01,-5.35595E-01
-2.38430E-01,-5.35137E-01
-2.38427E-01,-5.35518E-01
-2.38424E-01,-5.35366E-01
-2.38420E-01,-5.34756E-01
-2.38417E-01,-5.35518E-01
-2.38414E-01,-5.36129E-01
-2.38410E-01,-5.36663E-01
-2.38407E-01,-5.36434E-01
-2.38404E-01,-5.36968E-01
-2.38401E-01,-5.36587E-01
-2.38397E-01,-5.36968E-01
-2.38394E-01,-5.36663E-01
-2.38391E-01,-5.36510E-01
-2.38387E-01,-5.36892E-01
-2.38384E-01,-5.37350E-01
-2.38381E-01,-5.38189E-01
-2.38378E-01,-5.38723E-01
-2.38374E-01,-5.38036E-01
-2.38371E-01,-5.37884E-01
-2.38368E-01,-5.37884E-01
-2.38364E-01,-5.38036E-01
-2.38361E-01,-5.37121E-01
-2.38358E-01,-5.38112E-01
-2.38354E-01,-5.37121E-01
-2.38351E-01,-5.37655E-01
-2.38348E-01,-5.38570E-01
-2.38345E-01,-5.38723E-01
-2.38341E-01,-5.40401E-01
-2.38338E-01,-5.39867E-01
-2.38335E-01,-5.40554E-01
