in s,C1 in V
-2.35730E-01,-1.45799E+00
-2.35727E-01,-1.45913E+00
-2.35724E-01,-1.45898E+00
-2.35721E-01,-1.45883E+00
-2.35717E-01,-1.45875E+00
-2.35714E-01,-1.45959E+00
-2.35711E-01,-1.45974E+00
-2.35707E-01,-1.45967E+00
-2.35704E-01,-1.45974E+00
-2.35701E-01,-1.45990E+00
-2.35698E-01,-1.46493E+00
-2.35694E-01,-1.47645E+00
-2.35691E-01,-1.47622E+00
-2.35688E-01,-1.47500E+00
-2.35684E-01,-1.47508E+00
-2.35681E-01,-1.47607E+00
-2.35678E-01,-1.47615E+00
-2.35674E-01,-1.47592E+00
-2.35671E-01,-1.47592E+00
-2.35668E-01,-1.47592E+00
-2.35665E-01,-1.47592E+00
-2.35661E-01,-1.47561E+00
-2.35658E-01,-1.48744E+00
-2.35655E-01,-1.49217E+00
-2.35651E-01,-1.49118E+00
-2.35648E-01,-1.49202E+00
-2.35645E-01,-1.49194E+00
-2.35642E-01,-1.49209E+00
-2.35638E-01,-1.49247E+00
-2.35635E-01,-1.49263E+00
-2.35632E-01,-1.49255E+00
-2.35628E-01,-1.49285E+00
-2.35625E-01,-1.49247E+00
-2.35622E-01,-1.49675E+00
-2.35618E-01,-1.50926E+00
-2.35615E-01,-1.50865E+00
-2.35612E-01,-1.50857E+00
-2.35609E-01,-1.50911E+00
-2.35605E-01,-1.50758E+00
-2.35602E-01,-1.50720E+00
-2.35599E-01,-1.50735E+00
-2.35595E-01,-1.50743E+00
-2.35592E-01,-1.50918E+00
-2.35589E-01,-1.50933E+00
-2.35585E-01,-1.51017E+00
-2.35582E-01,-1.52200E+00
-2.35579E-01,-1.52780E+00
-2.35576E-01,-1.52841E+00
-2.35572E-01,-1.52871E+00
-2.35569E-01,-1.52932E+00
-2.35566E-01,-1.52955E+00
-2.35562E-01,-1.52917E+00
-2.35559E-01,-1.52864E+00
-2.35556E-01,-1.52856E+00
-2.35553E-01,-1.52871E+00
-2.35549E-01,-1.52810E+00
-2.35546E-01,-1.53367E+00
-2.35543E-01,-1.54473E+00
-2.35539E-01,-1.54481E+00
-2.35536E-01,-1.54481E+00
-2.35533E-01,-1.54466E+00
-2.35529E-01,-1.54496E+00
-2.35526E-01,-1.54496E+00
-2.35523E-01,-1.54535E+00
-2.35520E-01,-1.54588E+00
-2.35516E-01,-1.54573E+00
-2.35513E-01,-1.54588E+00
-2.35510E-01,-1.54481E+00
-2.35506E-01,-1.55603E+00
-2.35503E-01,-1.56091E+00
-2.35500E-01,-1.56007E+00
-2.35496E-01,-1.55984E+00
-2.35493E-01,-1.55976E+00
-2.35490E-01,-1.56015E+00
-2.35487E-01,-1.56099E+00
-2.35483E-01,-1.56121E+00
-2.35480E-01,-1.56114E+00
-2.35477E-01,-1.56198E+00
-2.35473E-01,-1.56167E+00
-2.35470E-01,-1.56747E+00
-2.35467E-01,-1.57884E+00
-2.35464E-01,-1.57884E+00
-2.35460E-01,-1.57853E+00
-2.35457E-01,-1.57930E+00
-2.35454E-01,-1.57876E+00
-2.35450E-01,-1.57838E+00
-2.35447E-01,-1.57899E+00
-2.35444E-01,-1.57884E+00
-2.35440E-01,-1.57960E+00
-2.35437E-01,-1.57891E+00
-2.35434E-01,-1.57914E+00
-2.35431E-01,-1.59059E+00
-2.35427E-01,-1.59623E+00
-2.35424E-01,-1.59669E+00
-2.35421E-01,-1.59692E+00
-2.35417E-01,-1.59669E+00
-2.35414E-01,-1.59730E+00
-2.35411E-01,-1.59753E+00
-2.35407E-01,-1.59745E+00
-2.35404E-01,-1.59784E+00
-2.35401E-01,-1.59814E+00
-2.35398E-01,-1.59814E+00
-2.35394E-01,-1.60386E+00
-2.35391E-01,-1.61439E+00
-2.35388E-01,-1.61470E+00
-2.35384E-01,-1.61424E+00
-2.35381E-01,-1.61439E+00
-2.35378E-01,-1.61431E+00
-2.35375E-01,-1.61393E+00
-2.35371E-01,-1.61431E+00
-2.35368E-01,-1.61424E+00
-2.35365E-01,-1.61462E+00
-2.35361E-01,-1.61477E+00
-2.35358E-01,-1.61485E+00
-2.35355E-01,-1.62774E+00
-2.35351E-01,-1.63140E+00
-2.35348E-01,-1.63140E+00
-2.35345E-01,-1.63102E+00
-2.35342E-01,-1.63156E+00
-2.35338E-01,-1.63034E+00
-2.35335E-01,-1.63217E+00
-2.35332E-01,-1.63186E+00
-2.35328E-01,-1.63057E+00
-2.35325E-01,-1.63140E+00
-2.35322E-01,-1.63079E+00
-2.35318E-01,-1.63781E+00
-2.35315E-01,-1.64880E+00
-2.35312E-01,-1.64834E+00
-2.35309E-01,-1.64941E+00
-2.35305E-01,-1.64941E+00
-2.35302E-01,-1.64941E+00
-2.35299E-01,-1.64987E+00
-2.35295E-01,-1.65010E+00
-2.35292E-01,-1.65017E+00
-2.35289E-01,-1.65147E+00
-2.35286E-01,-1.65025E+00
-2.35282E-01,-1.65040E+00
-2.35279E-01,-1.66246E+00
-2.35276E-01,-1.66764E+00
-2.35272E-01,-1.66681E+00
-2.35269E-01,-1.66681E+00
-2.35266E-01,-1.66658E+00
-2.35262E-01,-1.66566E+00
-2.35259E-01,-1.66475E+00
-2.35256E-01,-1.66513E+00
-2.35253E-01,-1.66459E+00
-2.35249E-01,-1.66444E+00
-2.35246E-01,-1.66406E+00
-2.35243E-01,-1.67115E+00
-2.35239E-01,-1.68176E+00
-2.35236E-01,-1.68199E+00
-2.35233E-01,-1.68290E+00
-2.35230E-01,-1.68321E+00
-2.35226E-01,-1.68443E+00
-2.35223E-01,-1.68389E+00
-2.35220E-01,-1.68473E+00
-2.35216E-01,-1.68466E+00
-2.35213E-01,-1.68389E+00
-2.35210E-01,-1.68481E+00
-2.35206E-01,-1.68405E+00
-2.35203E-01,-1.69702E+00
-2.35200E-01,-1.70114E+00
-2.35197E-01,-1.70037E+00
-2.35193E-01,-1.70091E+00
-2.35190E-01,-1.70098E+00
